stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2023-02-26 23:45:00,7.07,25.40,10.13,45.58,35.80,2.40,4.60,7.16,3.37,2023030100
CHIKKABANAVARA 5 MLD,2023-02-28 23:00:00,7.29,26.20,0.74,3.60,39.03,7.46,10.76,16.16,-,2023030100
KADUGODI 6 MLD STP,2023-02-28 23:45:00,7.79,23.10,1.30,3.43,173.02,88.41,17.57,42.43,4.26,2023030100
HORAMAVU 20 MLD,2023-02-28 23:45:00,7.38,25.90,0.59,3.30,29.08,6.00,15.29,7.78,2.95,2023030100
K AND C VALLEY 60 MLD,2023-02-28 23:45:00,7.55,25.10,1.33,3.90,32.15,5.46,11.56,10.13,3.33,2023030100
NAGASANDRA 20 MLD,2023-02-28 23:30:00,7.04,26.60,0.67,4.50,-,-,-,-,3.97,2023030100
RAJACANAL 40 MLD,2023-02-27 16:45:00,7.58,26.10,0.74,3.40,28.78,3.67,4.32,8.18,3.55,2023030100
YELLAMALAPACHETTY 15 MLD,2023-02-28 23:45:00,7.09,25.20,0.66,1.80,-,-,21.67,7.91,5.28,2023030100
BELLANDUR 90 MLD,2023-01-20 11:00:00,8.24,23.90,0.51,0.60,26.36,4.47,6.14,7.99,-,2023030100
DODDABELE 20 MLD,2022-12-09 11:45:00,7.29,24.40,0.17,2.40,40.24,7.73,10.41,12.16,4.37,2023030100
MALLATHALLI 5 MLD,2023-02-28 23:45:00,7.57,-,1.07,2.67,22.06,4.11,4.27,12.00,4.27,2023030100
NAGASANDRA OLD 20 MLD,2023-02-28 23:45:00,6.6,23.50,0.13,0.19,53.34,6.98,32.01,10.13,1.05,2023030100
4MLD Cubbon Park TTP,2023-02-28 23:45:00,6.89,27.50,1.02,4.71,17.35,1.21,0.93,5.03,4.08,2023030100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023030100
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.00,0.00,0.00,-,-,2023030100
KADABEESANAHALLI 50 MLD,2023-02-28 23:45:00,7.67,22.20,-,-,-,-,92.89,-,5.37,2023030100
STP Sarakki 5 MLD,2023-02-28 23:45:00,7.83,25.60,1.22,2.44,19.50,6.02,5.82,3.90,-,2023030100
Kempambudhi STP 1 MLD,2023-02-28 23:45:00,7.11,22.50,0.64,1.99,28.78,4.30,6.04,5.65,4.89,2023030100
Mailasandra STP 75 MLD,2023-02-06 17:00:00,7.57,21.90,1.20,0.30,45.22,8.27,14.59,13.91,0.38,2023030100
60 MLD V.Valley TTP,2023-02-28 23:45:00,4.18,24.00,0.05,0.12,20.62,2.47,3.25,6.75,2.74,2023030100
KR Puram STP 20 MLD,2023-02-28 23:45:00,7.33,22.50,2.90,5.80,82.45,11.54,122.16,0.00,0.93,2023030100
1.5 MLD Lalbagh TTP,2023-01-20 11:44:30,6.37,33.80,0.46,2.30,18.74,1.66,1.28,2.02,2.88,2023030100
35MLD Agaram STP,2023-02-28 13:15:00,5.54,20.20,0.06,0.25,21.90,1.60,9.20,1.44,-,2023030100
Chikka_Bagur_5_MLD_STP,2023-03-01 00:04:00,7.82,27.10,-,-,44.00,5.90,9.40,-,-,2023030100
Yelahanka 10MLD TTP,2023-02-28 23:45:00,6.92,23.00,0.84,3.32,14.80,5.30,147.90,2.96,2.72,2023030100
40MLD OLD Rajacanal STP,2023-02-28 23:45:00,7.48,23.10,1.67,5.18,26.80,6.40,9.20,6.70,5.01,2023030100
Hennur 1MLD TTP,2023-02-28 23:45:00,7.56,25.00,0.45,1.80,18.00,3.10,4.60,4.91,4.44,2023030100
2MLD Ulsoor STP,2023-02-26 23:45:00,7.07,25.40,10.13,45.58,35.80,2.40,4.60,7.16,3.37,2023030101
CHIKKABANAVARA 5 MLD,2023-02-28 23:00:00,7.29,26.20,0.74,3.60,39.03,7.46,10.76,16.16,-,2023030101
KADUGODI 6 MLD STP,2023-03-01 00:45:00,7.66,22.50,1.30,3.37,173.92,89.02,18.23,43.05,4.46,2023030101
HORAMAVU 20 MLD,2023-03-01 00:45:00,7.43,26.00,0.58,3.40,29.08,5.98,15.30,7.71,2.90,2023030101
K AND C VALLEY 60 MLD,2023-03-01 00:45:00,7.57,24.80,1.32,3.90,32.06,5.48,11.50,10.35,3.30,2023030101
NAGASANDRA 20 MLD,2023-03-01 00:45:00,7.02,26.70,0.68,4.40,-,-,-,-,3.99,2023030101
RAJACANAL 40 MLD,2023-02-27 16:45:00,7.58,26.10,0.74,3.40,28.78,3.67,4.32,8.18,3.55,2023030101
YELLAMALAPACHETTY 15 MLD,2023-03-01 00:45:00,7.08,25.10,0.65,1.70,-,-,22.40,8.25,5.20,2023030101
BELLANDUR 90 MLD,2023-01-20 11:00:00,8.24,23.90,0.51,0.60,26.36,4.47,6.14,7.99,-,2023030101
DODDABELE 20 MLD,2022-12-09 11:45:00,7.29,24.40,0.17,2.40,40.24,7.73,10.41,12.16,4.37,2023030101
MALLATHALLI 5 MLD,2023-03-01 00:45:00,7.62,-,1.07,2.68,22.06,4.10,4.29,11.82,4.29,2023030101
NAGASANDRA OLD 20 MLD,2023-03-01 00:45:00,6.6,23.50,0.14,0.21,53.43,6.99,31.25,9.48,1.05,2023030101
4MLD Cubbon Park TTP,2023-03-01 00:45:00,6.9,27.50,1.02,4.71,17.35,1.21,0.93,5.03,4.08,2023030101
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023030101
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.00,0.00,0.00,-,-,2023030101
KADABEESANAHALLI 50 MLD,2023-03-01 00:45:00,7.68,22.00,-,-,-,-,92.44,-,5.38,2023030101
STP Sarakki 5 MLD,2023-03-01 00:45:00,7.82,25.70,1.23,2.46,19.50,6.01,5.81,3.90,-,2023030101
Kempambudhi STP 1 MLD,2023-03-01 00:45:00,7.11,22.50,0.64,1.97,21.81,4.21,4.85,5.67,4.84,2023030101
Mailasandra STP 75 MLD,2023-02-06 17:00:00,7.57,21.90,1.20,0.30,45.22,8.27,14.59,13.91,0.38,2023030101
60 MLD V.Valley TTP,2023-03-01 00:45:00,4.23,23.90,0.05,0.12,20.62,2.47,3.25,6.75,2.68,2023030101
KR Puram STP 20 MLD,2023-03-01 00:45:00,7.33,22.50,2.86,5.72,82.64,11.57,122.08,0.00,0.74,2023030101
1.5 MLD Lalbagh TTP,2023-01-20 11:44:30,6.37,33.80,0.46,2.30,18.74,1.66,1.28,2.02,2.88,2023030101
35MLD Agaram STP,2023-02-28 13:15:00,5.54,20.20,0.06,0.25,21.90,1.60,9.20,1.44,-,2023030101
Chikka_Bagur_5_MLD_STP,2023-03-01 01:02:00,7.78,27.10,-,-,43.40,-,9.10,-,-,2023030101
Yelahanka 10MLD TTP,2023-03-01 01:00:00,6.93,23.00,0.93,3.62,14.60,4.90,135.00,2.93,2.57,2023030101
40MLD OLD Rajacanal STP,2023-03-01 01:00:00,7.47,23.10,1.64,5.08,26.50,6.40,8.90,6.62,4.92,2023030101
Hennur 1MLD TTP,2023-03-01 01:00:00,7.56,25.00,0.41,1.64,18.10,3.50,4.60,4.91,4.44,2023030101
2MLD Ulsoor STP,2023-02-26 23:45:00,7.07,25.40,10.13,45.58,35.80,2.40,4.60,7.16,3.37,2023030102
CHIKKABANAVARA 5 MLD,2023-02-28 23:00:00,7.29,26.20,0.74,3.60,39.03,7.46,10.76,16.16,-,2023030102
KADUGODI 6 MLD STP,2023-03-01 01:45:00,7.77,22.50,1.30,3.36,173.23,88.26,17.93,42.51,5.50,2023030102
HORAMAVU 20 MLD,2023-03-01 01:45:00,7.42,26.00,0.59,3.20,29.09,5.97,15.36,7.82,2.95,2023030102
K AND C VALLEY 60 MLD,2023-03-01 01:45:00,7.59,24.70,1.33,3.90,31.97,5.51,11.47,10.47,3.33,2023030102
NAGASANDRA 20 MLD,2023-03-01 01:45:00,7.04,26.60,0.67,4.60,-,-,-,-,3.99,2023030102
