stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on
2MLD Ulsoor STP,2023-10-31 23:15:00,7.04,26.30,0.48,1.20,61.10,4.82,9.09,5.63,8.04,-,2023110100
CHIKKABANAVARA 5 MLD,2023-10-31 23:45:00,7.65,24.50,0.41,3.40,31.99,4.78,5.47,12.48,3.28,-,2023110100
KADUGODI 6 MLD STP,2023-10-31 23:45:00,7.67,27.40,0.70,3.99,45.25,10.75,21.89,36.52,3.50,-,2023110100
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110100
K AND C VALLEY 60 MLD,2023-10-31 23:45:00,6.77,27.40,0.65,4.20,26.88,8.41,7.27,8.52,5.39,-,2023110100
NAGASANDRA 20 MLD,2023-10-31 23:45:00,7.77,26.50,0.93,3.72,45.74,14.35,7.19,9.74,3.97,-,2023110100
RAJACANAL 40 MLD,2023-10-31 23:45:00,7.59,27.20,0.91,4.00,31.26,3.62,8.8,8.01,4.37,-,2023110100
YELLAMALAPACHETTY 15 MLD,2023-10-31 23:45:00,7.45,27.58,0.55,2.21,53.31,1.33,7.71,5.43,1.56,-,2023110100
BELLANDUR 90 MLD,2023-11-01 00:00:00,7.82,27.20,0.54,1.70,27.04,4.66,7.08,5.41,3.02,-,2023110100
DODDABELE 20 MLD,2023-10-31 23:45:00,7.26,27.00,0.70,3.50,36.82,6.36,5.24,10.48,4.36,-,2023110100
NAGASANDRA OLD 20 MLD,2023-10-31 23:45:00,7.95,21.00,1.12,1.68,314.25,2.57,263.62,0.00,4.23,-,2023110100
4MLD Cubbon Park TTP,2023-11-01 00:00:00,7.14,28.60,0.48,4.73,17.30,1.23,0.9,5.02,1.92,-,2023110100
KADABEESANAHALLI 50 MLD,2023-11-01 00:00:00,-,-,0.86,3.88,46.80,8.62,8.3,7.97,3.45,-,2023110100
STP Sarakki 5 MLD,2023-10-31 23:30:00,7.91,27.70,3.23,6.46,19.01,5.19,5.88,3.80,-,-,2023110100
Mailasandra STP 75 MLD,2023-11-01 00:00:00,7.52,22.90,7.26,13.07,45.40,8.08,18.96,13.68,-0.11,-,2023110100
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110100
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110100
1.5 MLD Lalbagh TTP,2023-11-01 00:00:00,7.44,23.80,1.14,5.38,18.43,1.58,1.43,-1.39,-0.61,-,2023110100
35MLD Agaram STP,2023-11-01 00:00:00,7.10,26.00,1.47,6.03,29.11,4.97,8.09,6.39,-,-,2023110100
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110100
Yelahanka 10MLD TTP,2023-11-01 00:00:00,7.15,25.40,1.84,11.13,45.40,10.3,6.8,9.12,3.33,0.21,2023110100
40MLD OLD Rajacanal STP,2023-11-01 00:00:00,7.71,25.00,1.57,5.18,25.60,6.5,7.4,6.40,5.50,0.79,2023110100
Hennur 1MLD TTP,2023-10-31 20:45:00,7.39,27.80,1.60,2.40,20.00,2.2,5.0,5.00,4.00,0.32,2023110100
4_MLD_Madiwala_STP,2023-10-30 09:45:00,7.72,24.70,0.51,1.48,34.70,2.21,3.85,8.68,-,-,2023110100
150MLD STP_K&C valley,2023-10-31 23:55:00,7.80,-,2.13,5.28,-,246.19,30.88,-,-,0.68,2023110100
2MLD Ulsoor STP,2023-11-01 00:45:00,7.02,26.20,0.52,1.30,50.84,4.01,7.56,5.62,6.69,-,2023110101
CHIKKABANAVARA 5 MLD,2023-11-01 00:45:00,7.66,24.50,0.40,3.40,32.16,4.71,5.51,11.34,3.20,-,2023110101
KADUGODI 6 MLD STP,2023-11-01 00:45:00,7.66,27.50,0.70,4.20,46.41,10.66,26.74,32.96,3.50,-,2023110101
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110101
K AND C VALLEY 60 MLD,2023-11-01 00:45:00,6.81,27.50,0.65,4.20,26.65,8.27,6.92,8.17,5.39,-,2023110101
NAGASANDRA 20 MLD,2023-11-01 00:45:00,7.74,26.50,0.92,3.68,43.58,12.92,7.08,8.55,3.97,-,2023110101
RAJACANAL 40 MLD,2023-11-01 00:45:00,7.58,27.10,0.91,4.00,31.32,3.63,8.94,8.04,4.37,-,2023110101
YELLAMALAPACHETTY 15 MLD,2023-11-01 00:45:00,7.43,27.50,0.55,2.20,54.14,1.37,7.7,5.47,1.27,-,2023110101
BELLANDUR 90 MLD,2023-11-01 01:00:00,7.82,27.20,0.54,1.70,27.05,4.68,7.2,5.41,3.02,-,2023110101
DODDABELE 20 MLD,2023-11-01 00:45:00,7.26,27.00,0.70,3.50,36.88,6.36,5.34,10.49,4.36,-,2023110101
NAGASANDRA OLD 20 MLD,2023-11-01 00:45:00,8.02,20.00,0.96,1.44,314.38,1.49,261.27,0.00,4.29,-,2023110101
