stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on,outlet_flow,inlet_flow
2MLD Ulsoor STP,2023-11-30 23:30:00,7.26,26.00,0.38,1.90,22.19,3.11,3.55,4.44,3.17,-,2023120100,,
CHIKKABANAVARA 5 MLD,2023-11-30 23:45:00,7.56,23.10,0.36,3.30,28.14,4.43,4.49,12.56,2.88,-,2023120100,,
KADUGODI 6 MLD STP,2023-12-01 00:00:00,7.77,26.70,0.50,3.39,37.40,7.07,10.48,6.54,2.95,-,2023120100,,
HORAMAVU 20 MLD,2023-11-30 23:45:00,7.6,27.90,1.12,3.40,36.84,7.75,9.18,4.71,4.48,-,2023120100,,
K AND C VALLEY 60 MLD,2023-11-30 23:30:00,6.91,26.50,0.60,3.60,46.88,10.53,21.94,8.43,4.98,-,2023120100,,
NAGASANDRA 20 MLD,2023-11-30 23:45:00,7.59,24.90,1.33,5.32,199.86,8.15,45.28,1.39,3.73,-,2023120100,,
RAJACANAL 40 MLD,2023-11-30 23:45:00,7.63,26.10,0.88,4.10,28.83,3.56,4.65,8.04,4.22,-,2023120100,,
YELLAMALAPACHETTY 15 MLD,2023-11-28 10:45:00,7.3,27.02,0.54,2.16,25.09,4.37,1.87,4.59,1.62,-,2023120100,,
BELLANDUR 90 MLD,2023-11-30 23:45:00,7.86,26.00,0.56,1.70,27.92,3.23,13.86,5.58,3.14,-,2023120100,,
DODDABELE 20 MLD,2023-11-30 23:45:00,7.14,26.10,0.78,4.70,39.48,6.83,6.54,11.01,4.28,-,2023120100,,
NAGASANDRA OLD 20 MLD,2023-11-30 23:45:00,7.6,23.10,2.50,3.75,177.50,14.34,115.51,5.16,0.29,-,2023120100,,
4MLD Cubbon Park TTP,2023-12-01 00:00:00,7.15,27.90,0.71,4.72,17.33,1.22,0.93,5.02,3.55,-,2023120100,,
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120100,,
STP Sarakki 5 MLD,2023-11-30 23:45:00,7.93,26.90,0.62,1.24,18.68,4.78,5.61,3.74,-,-,2023120100,,
Mailasandra STP 75 MLD,2023-11-30 23:45:00,7.55,22.00,7.28,13.10,45.48,8.07,18.64,12.99,-0.17,-,2023120100,,
60 MLD V.Valley TTP,2023-11-30 23:45:00,6.93,23.70,0.87,2.09,20.02,1.77,3.19,4.54,1.52,-,2023120100,,
KR Puram STP 20 MLD,2023-12-01 00:00:00,6.96,24.90,2.05,4.10,122.58,0.0,360.04,17.16,3.68,-,2023120100,,
1.5 MLD Lalbagh TTP,2023-11-27 13:15:00,7.21,27.40,0.62,3.03,18.08,1.41,1.06,-0.02,-0.04,-,2023120100,,
35MLD Agaram STP,2023-12-01 00:00:00,7.19,25.20,0.77,3.16,29.48,5.03,4.23,6.47,-,-,2023120100,,
