stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
2MLD Ulsoor STP,2024-03-20 09:00:00,6.97,29.00,0.55,2.75,23.24,3.25,3.72,4.65,3.32,-,-,-,2024032012
CHIKKABANAVARA 5 MLD,2024-03-20 11:00:00,7.42,26.70,0.38,3.40,26.42,4.21,4.37,10.88,3.04,-,-,-,2024032012
KADUGODI 6 MLD STP,2024-03-20 11:15:00,7.85,28.10,0.3,7.26,39.46,7.48,12.86,6.86,1.77,-,-,-,2024032012
HORAMAVU 20 MLD,2024-03-20 11:15:00,7.71,30.80,1.03,3.30,37.72,7.03,11.58,2.70,4.12,-,-,-,2024032012
K AND C VALLEY 60 MLD,2024-03-20 11:24:00,6.74,29.50,0.7,2.70,46.53,11.35,6.12,14.37,5.81,-,-,-,2024032012
NAGASANDRA 20 MLD,2024-03-01 11:00:00,7.61,25.30,1.02,4.08,46.64,8.89,11.16,7.62,3.77,-,-,-,2024032012
RAJACANAL 40 MLD,2024-03-20 11:15:00,7.62,28.90,1.2,2.70,28.43,3.61,3.98,8.11,5.76,-,-,-,2024032012
YELLAMALAPACHETTY 15 MLD,2024-03-14 17:45:00,7.53,28.97,0.55,2.20,36.50,6.07,7.84,4.78,3.83,-,-,-,2024032012
BELLANDUR 90 MLD,2024-03-20 11:15:00,7.74,29.20,0.93,1.50,27.52,6.05,8.82,5.50,5.21,-,-,-,2024032012
DODDABELE 20 MLD,2024-03-19 21:30:00,6.9,28.50,0.33,1.10,44.37,6.9,15.54,10.18,4.14,-,-,-,2024032012
NAGASANDRA OLD 20 MLD,2024-03-01 11:00:00,7.35,24.10,1.36,2.04,54.28,5.26,23.47,0.00,-,-,-,-,2024032012
4MLD Cubbon Park TTP,2024-03-20 11:15:00,6.84,30.50,0.65,4.73,17.33,1.23,0.92,5.02,3.25,-,-,-,2024032012
KADABEESANAHALLI 50 MLD,2024-03-17 12:15:00,7.22,26.00,0.83,3.73,44.74,8.28,10.17,8.29,3.31,-,-,-,2024032012
STP Sarakki 5 MLD,2024-03-20 11:15:00,7.8,29.00,0.94,1.88,20.71,7.84,7.62,4.14,-,-,-,-,2024032012
Mailasandra STP 75 MLD,2024-03-20 11:15:00,7.61,26.30,17.39,27.82,52.45,16.74,16.79,8.63,1.56,-,-,-,2024032012
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024032012
KR Puram STP 20 MLD,2024-03-20 11:15:00,6.88,26.90,3.97,7.94,59.70,13.85,30.52,8.36,0.05,-,-,-,2024032012
1.5 MLD Lalbagh TTP,2024-03-20 11:15:00,7.1,32.00,0.47,2.30,18.55,1.48,0.99,0.00,0.00,-,-,-,2024032012
35MLD Agaram STP,2024-03-20 11:15:00,7.3,28.00,0.63,2.58,29.93,5.11,3.46,6.57,-,-,-,-,2024032012
Chikka_Bagur_5_MLD_STP,2024-03-20 11:45:00,7.71,27.40,6.74,13.50,43.60,6.9,7.4,13.80,-,-,-,-,2024032012
Yelahanka 10MLD TTP,2024-03-20 11:45:00,7.36,24.60,0.0,-,36.70,5.8,5.5,7.32,15.48,0.23,-,-,2024032012
40MLD OLD Rajacanal STP,2024-03-20 12:00:00,7.46,25.70,1.32,2.38,26.40,8.2,10.7,6.60,3.73,0.66,-,-,2024032012
Hennur 1MLD TTP,2024-02-29 09:15:00,7.56,26.40,0.44,0.66,18.90,1.6,4.0,4.95,4.72,0.09,-,-,2024032012
4_MLD_Madiwala_STP,2024-03-20 11:30:00,7.57,27.30,1.63,4.70,35.05,4.85,4.06,8.76,-,-,-,-,2024032012
150MLD STP_K&C valley,2024-03-20 11:30:00,7.1,-,1.04,5.73,-,4.5,9.69,-,-,0.98,-,-,2024032012
20Mld KR Puram STP New,2024-03-19 09:00:00,0.0,-,0.0,0.00,0.00,0.0,0.0,0.00,-,-,3.49,4.38,2024032012
10 MLD STP HULIMAVU,2024-03-20 12:00:00,7.66,-,4.33,3.36,14.24,0.85,2.54,1.20,-,-,4.34,4.53,2024032012
2MLD Ulsoor STP,2024-03-20 11:45:00,6.9,29.00,0.53,2.65,24.92,3.49,3.99,4.98,3.56,-,-,-,2024032013
CHIKKABANAVARA 5 MLD,2024-03-20 12:00:00,7.42,26.90,0.39,3.40,26.42,4.22,4.37,10.93,3.12,-,-,-,2024032013
KADUGODI 6 MLD STP,2024-03-20 12:15:00,7.83,28.40,0.3,7.27,39.53,7.48,13.29,6.85,1.77,-,-,-,2024032013
HORAMAVU 20 MLD,2024-03-20 12:15:00,7.76,30.60,1.03,3.30,37.86,7.03,11.66,2.59,4.12,-,-,-,2024032013
K AND C VALLEY 60 MLD,2024-03-20 12:22:30,6.74,29.70,0.7,2.80,46.73,11.37,6.4,14.56,5.81,-,-,-,2024032013
NAGASANDRA 20 MLD,2024-03-01 11:00:00,7.61,25.30,1.02,4.08,46.64,8.89,11.16,7.62,3.77,-,-,-,2024032013
RAJACANAL 40 MLD,2024-03-20 12:15:00,7.61,29.10,1.21,2.70,28.43,3.6,3.98,8.07,5.81,-,-,-,2024032013
