lake,timestamp,download_timestamp,ph,temperature,dissolved_ammonia,cod,bod,dissolved_oxygen,turbidity,conductivity,chloride,nitrate,toc,level,level_2
Varthur Lake,2023-08-14 23:30:00,2023-08-15 04:30:00,6.92,27.1,2.12,488.64,113.35,0.78,34.41,1340.0,223.58,23.13,389.07,1.29,
Bellandhur Lake,2023-08-14 23:30:00,2023-08-15 04:30:00,7.04,27.4,10.37,510.94,143.41,0.57,69.05,1125.0,119.43,22.51,775.63,1.2,
Agara Lake,2023-08-14 23:30:00,2023-08-15 04:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 00:30:00,2023-08-15 05:30:00,6.92,27.0,1.99,501.27,111.57,0.78,33.62,1340.0,229.6,22.41,396.05,1.29,
Bellandhur Lake,2023-08-15 00:30:00,2023-08-15 05:30:00,7.08,27.1,9.57,489.84,142.17,0.57,66.63,1134.0,117.52,22.52,720.11,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 05:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 01:30:00,2023-08-15 06:30:00,6.88,26.8,2.05,661.94,151.6,0.78,27.82,1340.0,300.82,21.42,472.92,1.29,
Bellandhur Lake,2023-08-15 01:30:00,2023-08-15 06:30:00,7.12,26.9,8.66,491.9,140.8,0.57,68.79,1146.0,119.0,22.51,727.98,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 06:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 02:30:00,2023-08-15 07:30:00,6.94,26.7,1.9,558.06,131.22,0.78,31.4,1339.0,253.24,19.77,427.92,1.29,
Bellandhur Lake,2023-08-15 02:30:00,2023-08-15 07:30:00,7.11,26.6,9.47,529.41,152.02,0.58,66.02,1177.0,117.09,22.48,834.66,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 07:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 03:30:00,2023-08-15 08:30:00,7.07,26.5,1.98,481.28,110.91,0.79,33.71,1339.0,219.13,20.17,391.66,1.29,
Bellandhur Lake,2023-08-15 03:30:00,2023-08-15 08:30:00,7.07,26.4,10.2,495.53,145.07,0.58,67.11,1170.0,117.83,22.53,738.22,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 08:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 04:30:00,2023-08-15 09:30:00,8.08,25.2,0.05,447.29,99.95,1.72,35.62,1339.0,204.42,20.96,375.32,1.29,
Bellandhur Lake,2023-08-15 04:30:00,2023-08-15 09:30:00,7.0,26.4,10.64,510.66,145.29,0.58,67.74,1169.0,118.56,22.51,794.08,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 09:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 05:30:00,2023-08-15 10:30:00,6.7,24.8,0.19,465.52,103.35,7.77,34.74,1340.0,213.22,21.76,382.61,1.29,
Bellandhur Lake,2023-08-15 05:30:00,2023-08-15 10:30:00,7.02,26.2,10.57,476.51,136.52,0.58,66.23,1166.0,116.92,22.53,706.3,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 10:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 06:30:00,2023-08-15 11:30:00,5.36,24.1,0.27,421.4,96.84,9.36,37.42,1340.0,194.36,24.75,353.83,1.29,
Bellandhur Lake,2023-08-15 06:30:00,2023-08-15 11:30:00,7.06,26.4,10.74,482.97,140.44,0.58,63.27,1194.0,115.31,22.52,731.3,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 11:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 07:30:00,2023-08-15 12:30:00,4.84,24.4,0.15,422.39,98.13,9.35,37.22,1340.0,194.66,25.22,354.56,1.29,
Bellandhur Lake,2023-08-15 07:30:00,2023-08-15 12:30:00,7.15,26.4,10.05,467.22,143.38,0.58,61.07,1200.0,113.82,22.53,691.02,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 12:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 08:30:00,2023-08-15 13:30:00,4.54,25.0,0.16,468.33,110.43,9.28,35.85,1340.0,214.59,23.9,375.77,1.29,
Bellandhur Lake,2023-08-15 08:30:00,2023-08-15 13:30:00,7.22,26.4,8.7,488.21,153.02,0.58,62.87,1217.0,116.06,22.49,741.62,1.2,
Agara Lake,2023-08-14 23:45:00,2023-08-15 13:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 09:30:00,2023-08-15 14:30:00,4.37,26.2,0.16,427.31,103.71,9.48,37.64,1339.0,195.28,23.64,361.69,1.29,
Bellandhur Lake,2023-08-15 09:30:00,2023-08-15 14:30:00,7.27,26.5,8.0,505.06,159.12,0.58,66.47,1233.0,119.02,22.51,783.17,1.2,
Agara Lake,2023-08-15 09:30:00,2023-08-15 14:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 10:30:00,2023-08-15 15:30:00,4.19,26.6,0.23,436.89,103.38,9.36,37.13,1339.0,200.15,23.02,365.67,1.29,
Bellandhur Lake,2023-08-15 10:30:00,2023-08-15 15:30:00,7.28,26.5,7.81,546.04,168.6,0.58,62.46,1214.0,115.43,22.45,898.07,1.2,
Agara Lake,2023-08-15 10:30:00,2023-08-15 15:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 11:30:00,2023-08-15 16:30:00,4.01,26.4,0.18,407.43,98.13,8.91,38.18,1339.0,186.66,23.33,350.46,1.29,
Bellandhur Lake,2023-08-15 11:30:00,2023-08-15 16:30:00,7.27,26.6,7.96,498.82,155.01,0.58,64.14,1242.0,116.31,22.52,768.59,1.2,
Agara Lake,2023-08-15 11:30:00,2023-08-15 16:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 12:30:00,2023-08-15 17:30:00,7.32,27.5,0.22,406.25,93.23,0.79,36.97,1341.0,186.96,24.68,349.82,1.29,
Bellandhur Lake,2023-08-15 12:30:00,2023-08-15 17:30:00,7.23,26.7,8.33,496.36,152.8,0.58,64.03,1235.0,115.95,22.52,753.04,1.2,
Agara Lake,2023-08-15 12:30:00,2023-08-15 17:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 13:30:00,2023-08-15 18:30:00,7.13,28.2,0.1,423.95,95.38,0.77,35.38,1343.0,195.23,24.54,357.58,1.29,
Bellandhur Lake,2023-08-15 13:30:00,2023-08-15 18:30:00,7.17,27.1,9.14,505.23,152.27,0.58,63.46,1217.0,115.46,22.52,769.03,1.2,
Agara Lake,2023-08-15 13:30:00,2023-08-15 18:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 14:30:00,2023-08-15 19:30:00,7.14,28.6,0.15,499.45,112.85,0.77,32.65,1344.0,228.87,23.6,392.39,1.29,
Bellandhur Lake,2023-08-15 14:30:00,2023-08-15 19:30:00,7.16,28.1,9.74,536.61,157.11,0.56,66.38,1251.0,117.95,22.49,856.26,1.2,
Agara Lake,2023-08-15 14:30:00,2023-08-15 19:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 15:30:00,2023-08-15 20:30:00,7.14,28.9,0.26,472.63,101.93,0.77,33.37,1344.0,217.85,25.8,380.68,1.29,
Bellandhur Lake,2023-08-15 15:30:00,2023-08-15 20:30:00,7.09,28.8,10.17,540.68,152.5,0.56,72.28,1243.0,122.32,22.47,837.82,1.2,
Agara Lake,2023-08-15 15:30:00,2023-08-15 20:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-15 16:30:00,2023-08-15 21:30:00,7.16,29.2,0.39,500.19,106.73,0.77,30.95,1344.0,230.19,25.39,394.34,1.29,
